id,Review,aspect category,aspect category1,aspect category2,polarity,polarity1,polarity2
1,"['Tally supports export to CSV, GST tax calculation.Readable data available for filling of GST returns. This provide multi-language support. It maintains inventory along with accounts. Automatic interest calculation for various accounts like receivable, payable, capital account. User security controls along with data safety features. It supports Audit features which are very useful. Presentation of data with bar charts. It not only provides profit and loss for the Financial year but it also provides various ratios for analysis of financial data. This is available for students for learning purpose.']",['functionality'],['security'],[''],1,1,
2,"['Can create account for multiple companies and use at multiple windows,, need not to do calculations by hand, everything percentage and deductions are calculated in tally itself']",['financial management'],['functionality'],[''],1,1,
3,"['Tally this software is very user friendly and you can say very intuitive. They have single user & multiple user licesense. On multiuser lisence we can access tally on multiple devices , computers, laptops. Even they have remote facility so you can give remote. Tally support also very nice.we have single user means Silver license. We are happy to using this. Our accountant can easily maintain all purchase, sale, payment , receipt, invoice entries. It is very easy to take data backup also.']",['ease of use'],['backup'],[''],1,1,
4,"['Doesnt have automatic backups,, would be good if they have an option that data will be saved somewhere when computer get corrupted']",['backup'],[''],[''],0,,
5,['Auto updation of profit loss and balance sheet. Easy to use'],['auto update'],['ease of use'],[''],1,1,
6,['1) One of the best accounting and managing software I have ever used. 2) Easy to use and manage the account transactions. 3) I personally recommend Tally to manage account transactions and GST information(for indian users).'],['ease of use'],['functionality'],[''],1,1,
7,"['Very fast, adaptive, it has lot of settings which suits our needs, they also give support under warranty period. Overall an accounting software which made for Indian market, we are used to tally, we can not adjust in any other software.']",['ease of use'],['customer support'],[''],1,1,
8,"['This application is having multiple benefits from the aspects such as purchase, sales, inventory management, accounting and finance, manufacturing and payroll management.  Remind letters can be drafted through the application for the outstanding customers.  Easy to calculate business ratios.  Inventory management module help organization to maintain proper stock levels and make purchase decisions on time. Arrears salary calculations, salary revisions and pay slip generation through the pay roll module. Customizations can easily be done as per the requirement of the users. Easy for the beginners to understand.  Data in the application can easily be exported to the PDF and excel formats.']",['functionality'],['accounting method'],[''],1,1,
9,"['use to infer from balance sheets and income statements, easy to make journal entries']",['ease of use'],[''],[''],1,,
10,['Its navigation feathers to enter into any ledger via various routes'],['other'],[''],[''],1,,
11,"['This software is best  and most trusted software. It provides automated solution for maintaining records and timely compliance with laws. The Best in this software is that one can customize this software according to requirements. Even special customization for every kind of business is available. It is very easy to use and learn for a fresher, Shortcut Keys are given on right side. Data can be easily compiled and migrated to PDF, Excel and Other Forms. Tally.net user is another very good feature, which provides you to access your data while sitting anywhere. These days it is very helpful for preparation and uploading of GST Returns directly from Software']",['security'],['accounting method'],[''],1,1,
12,"['One of the things I like most with this software is its ability to adopt to the changing needs of a business needs today. It has the ability to adopt them with ease and and also ensures the business data is safe and secure. Through the help of partner support, Tally provides support for training and installation.']",['update'],['security'],[''],1,1,
13,['multiple options to select.  minimal data and maximum effect  auto calculation of bills  several menus to analyse and present data  report export facility  server-client option to expand it's usability  options for VAT forms plugins import  State wise calculation capability'],['functionality'],[''],[''],1,,
14,"['GST implementation is really appreciated, some bad marks are you cannot control or lock the previous date invoice numbers which is very important for GST registered users, if your configuration of numbering is automatic the if you change any one number in between all the invoices will be affected, It should not be happen after filing GSTR1 report.']",['functionality'],['accounting method'],[''],1,0,
15,['1. Extremely easy to understand and easy to use.   2. Serve as an ERP product for the organization  3. Customised reports  4. Regulatory compliances inbuilt in software  5. Preparation of financial statement made easy.   6. Complete audit trail.   7. Multi-user facility and remote user facility like Tally.Net services  8. Easy setup'],['ease of use'],['accounting method'],[''],1,1,
16,"['With respect to all the statutory compliances, Tally incorporates all the features as per the relevant Act. Whether it is GST or TDS, Tally makes it easy to prepare reports and file returns.']",['functionality'],['ease of use'],[''],1,1,
17,['We are using Tally for maintaining our accounts. The features are awesome and its very understandable. They have provided the shotcuts and keys to make our work easy. We can also create our tax files directly from it. We recommend tally to everyone for accounting solutions.'],['ease of use'],['functionality'],[''],1,1,
18,['This software is very user friendly software most of accounting people like this product.its very easy to ledger creation in tally. Profit and Lose account tallyed very easy. All features of the software's Very useful'],['ease of use'],['accounting method'],[''],1,1,
19,"['After the addition of GST in the Indian Market, tally has been one of the best and supportive software throughout. It was one the first software to support this functionality. update are lot quicker compare to others.']",['functionality'],['update'],[''],1,1,
20,"['THIS SOFTWARE IS THE BEST ACCOUNTING SOFTWARE IN INDIA , THIS SOFTWARE GIVES ME JOB AS A ACCOUNTANT IN PRIVATE COMPANY LOCATED IN INDIA , I WOULD BE THANKFUL TO ALL TALLY TEAM , AND BEST WISHESH FOR THERE FUTURE.']",['none'],[''],[''],1,,
21,"['Smoothly, report is highly accuracy. Profit and loss we can find immediately.  Mostly trading organization using tally which is easy and accuracy.']",['accounting method'],['ease of use'],[''],1,1,
22,"['I am using tally since 1998 and still using and will use. Its simple to use  easy to install , easy to configure and very lost cost.']",['ease of use'],['price'],[''],1,1,
23,['Navigation through the software is quite easy. There are different features for each type of user. You can either just do accounting or else use the inventory option as well to keep stock data. You can easily see the reports and pull it out easily in the format you like.'],['ease of use'],['accounting method'],[''],1,1,
24,"['Simple to use , reporting is easy and you can easily use shortcuts written on the right side. Can easily use chart of accounts']",['ease of use'],['functionality'],[''],1,1,
25,['Tally. ERP9 gives complete solution for maintaining personal business records. It gives easy access to any data stored in records. Easy to use with well defined shortcut tools.'],['customer support'],['ease of use'],[''],1,1,
26,['Compliance with the norms in India and mind you they keep changing frequently. Tally update the product on a regular basis to give us the latest.'],['update'],[''],[''],1,,
27,"['It is one of the best and easiest software in the world. User friendly, one click reports. features, cost centres.']",['ease of use'],['price'],[''],1,1,
28,['Its User Interface and Easy to Use Features. It can be customized according to the need of Users and Its so much easy to Learn How to Work With This Software.'],['ease of use'],['ui'],[''],1,1,
29,['Provides multiple functions that are required for accounting. Also provides facility to generate GST reports.'],['accounting method'],['functionality'],[''],1,1,
30,['Simplified can be used by non accounts guy. Back up of data is good. Data analysis  Tracking of inventory Is very quick'],['backup'],['functionality'],[''],1,1,
31,['Tally is facility to integrating with third party tool '],['other'],[''],[''],1,,
32,"['GST integration is fantastic, it reduce the time of the accountant and results are matching with GST portal']",['time'],['functionality'],[''],1,1,
33,['Tally is very easy and user friendly  to use compared to other accounting software is and data traceability is also good'],['ease of use'],['accounting method'],[''],1,1,
34,['1. Very proffesional.  2. Multiple user.  3. Gst complaint.  4. e-way bill integration.  5.Hassle free accounting.'],['functionality'],['price'],[''],1,1,
35,"['Accounting for 8 sub companies done easily in one place. Payroll, GST etc. is very easily done.']",['ease of use'],['functionality'],[''],1,1,
36,['Tally software helps me in the planning of software development. It is a great application for the planning in software development. protection of the password in this software. user friendly and easy to learn.'],['ui'],['security'],[''],1,1,
